	protein_sequence1	protein_sequence2
432	512	1213
433	1272	1466
434	1878	1653
435	1878	1975
436	1878	800
437	1878	84
438	1837	2034
439	2551	2034
440	2551	1419
441	2551	2163
442	1682	2280
443	1682	2211
444	1029	924
445	1029	2281
446	127	1653
447	127	2280
448	127	2211
449	100	2249
450	521	1898
451	521	2211
452	521	1444
453	521	1024
454	521	2034
455	521	678
456	521	949
457	521	2229
458	521	1373
459	521	2641
460	1127	2034
461	1306	147
462	1306	1564
463	1869	1435
464	1425	1510
465	529	1653
466	529	2249
467	529	780
468	529	2280
469	529	2281
470	1976	2280
471	1976	2211
472	1010	1975
473	1010	377
474	1010	2196
475	1010	2211
476	1010	328
477	2653	780
478	255	2280
479	2259	471
480	2312	377
481	2312	851
482	2312	692
483	2312	84
484	2312	2453
485	2511	486
486	746	2211
487	676	144
488	676	1710
489	2371	2331
490	2371	1710
491	802	2280
492	802	2211
493	2210	2249
494	2210	2331
495	2210	377
496	2210	328
497	574	2249
498	574	2280
499	1912	1975
500	1912	377
501	1912	650
502	1912	1097
503	1912	1641
504	1912	1346
505	1912	471
506	208	2034
507	1063	2134
508	1063	949
509	966	2249
510	966	2034
511	966	949
512	966	2211
513	2001	2034
514	1783	2355
515	2378	1036
516	31	144
517	47	2505
518	47	2281
519	47	2281
520	47	2281
521	47	2281
522	2223	1351
523	2424	414
524	2424	2560
525	2652	937
526	2652	1679
527	2652	1600
528	2652	1227
529	2652	393
530	2652	1429
531	2652	2690
532	2652	2050
533	2652	1112
534	2265	2034
535	1610	2034
536	1657	2249
537	896	2249
538	79	2331
539	284	1282
540	284	290
541	284	470
542	284	1488
543	1077	1909
544	1269	2034
545	1685	377
546	1685	2211
547	1239	328
548	1239	377
549	241	2211
550	2235	2280
551	2426	1435
552	2426	2280
553	1531	1653
554	1531	1787
555	1531	2280
556	1531	2211
557	1531	1563
558	928	2134
559	1725	2249
560	1204	708
561	1204	1017
562	1204	1811
563	1204	1710
564	1204	1151
565	1204	2280
566	1230	1017
567	1230	2280
568	1948	355
569	1948	355
570	1961	290
571	2099	2134
572	2099	780
573	902	2249
574	902	1790
575	958	2249
576	958	2249
577	950	2280
578	1505	2034
579	1124	1622
580	1124	784
581	1711	1710
582	373	2280
583	2544	471
584	380	1213
585	1958	1622
586	1958	784
587	1958	601
588	1030	2589
589	1030	1760
590	1030	1114
591	1030	736
592	1030	800
593	1030	84
594	1030	1975
595	1030	130
596	1030	2509
597	1030	485
598	1030	503
599	1030	377
600	1030	908
601	1030	2327
602	1030	171
603	1030	2280
604	1525	2249
605	670	253
606	2496	2280
607	2496	908
608	2496	2134
609	2496	2327
610	42	2280
611	465	1710
612	134	1883
613	134	2394
614	2649	328
615	2649	471
616	400	1270
617	1251	2280
618	2477	2034
619	111	2280
620	111	1435
621	2097	2355
622	1581	1710
623	1552	147
624	1552	513
625	667	2280
626	1937	2355
627	585	1134
628	974	2249
629	1674	328
630	1467	780
631	573	2297
632	573	1883
633	909	800
634	909	1975
635	909	2196
636	909	2280
637	909	377
638	909	2331
639	201	2331
640	201	2280
641	201	2034
642	201	2331
643	201	1435
644	938	144
645	938	2034
646	1415	328
647	1415	503
648	1514	2211
649	2535	513
650	1751	2034
651	291	147
652	291	513
653	291	2225
654	1145	328
655	1852	26
656	594	393
657	594	2249
658	594	1576
659	594	824
660	2085	2280
661	1997	1975
662	432	2249
663	2615	2249
664	1410	650
665	1283	2249
666	113	2280
667	1309	1617
668	329	473
669	329	1909
670	2022	2034
671	655	1830
672	655	1883
673	655	2297
674	1356	1883
675	1356	2297
676	1356	2280
677	1356	1830
678	1884	924
679	1884	2281
680	1884	290
681	1214	2134
682	1225	2056
683	2637	2211
684	2637	2249
685	2069	2331
686	997	2034
687	1778	1975
688	1778	2196
689	1778	1757
690	1778	1036
691	2077	780
692	2077	780
693	2077	1829
694	1931	410
695	1988	84
696	1988	1975
697	1988	377
698	1988	2034
699	1438	2280
700	1438	2134
701	1750	2280
702	119	503
703	178	949
704	178	2280
705	2720	1866
706	1627	147
707	1627	2249
708	1062	780
709	2655	800
710	2655	84
711	2655	2211
712	2655	1975
713	2655	130
714	2655	485
715	2655	1563
716	2655	377
717	2655	1653
718	2655	2331
719	2655	1134
720	2415	2331
721	1803	2196
722	789	2034
723	1974	1710
724	1165	2134
725	2603	1152
726	2603	1928
727	1334	1710
728	646	2211
729	646	2280
730	1477	2331
731	2137	678
732	1746	471
733	2546	1838
734	1669	780
735	1669	2280
736	726	2280
737	1158	2331
738	1888	26
739	2647	1710
740	2647	949
741	2647	317
742	1368	2280
743	1005	2280
744	292	2211
745	1639	2331
746	2497	2249
747	2282	2034
748	2153	1373
749	264	1680
750	264	680
751	264	2160
752	2351	2034
753	225	2034
754	1241	2249
755	2	1883
756	2	2297
757	105	1375
758	1854	144
759	1854	2034
760	958	2249
761	958	2249
762	958	2249
763	958	2249
764	958	2249
765	184	2249
766	184	2249
767	184	2249
768	2710	1373
769	958	2249
770	1376	2211
771	1412	2034
772	1412	1757
773	1646	2134
774	1646	2280
775	149	917
776	149	1151
777	2562	2280
778	1287	1157
779	1327	1419
780	1028	1883
781	1028	1830
782	1441	2280
783	1441	1757
784	238	851
785	2642	2280
786	980	2034
787	980	2331
788	980	1975
789	980	377
790	980	800
791	980	824
792	980	84
793	980	1787
794	980	2196
795	980	949
796	980	2453
797	956	2327
798	956	908
799	956	1653
800	956	2034
801	956	2331
802	956	1114
803	956	1975
804	956	377
805	956	800
806	956	824
807	956	84
808	956	1787
809	956	2196
810	956	2280
811	956	1757
812	956	2453
813	1189	1883
814	1189	1975
815	1189	377
816	1189	692
817	1189	84
818	1189	2280
819	1189	1
820	1393	2331
821	1393	2280
822	2588	2280
823	640	1757
824	531	1883
825	531	1830
826	531	2297
827	845	2034
828	1258	1653
829	1258	2280
830	1258	2211
831	385	1757
832	385	1896
833	117	2331
834	2736	1653
835	2736	2034
836	2736	2331
837	2736	1975
838	2736	1787
839	1149	2280
840	185	1883
841	185	1830
842	185	1213
843	185	2297
844	1568	1213
845	1943	1909
846	1943	1212
847	1943	952
848	1943	1883
849	1943	2034
850	1943	1830
851	1943	1213
852	1698	1036
853	1698	328
854	1698	1485
855	1698	2374
856	1698	2280
857	1698	2509
858	1698	1981
859	1698	1563
860	1039	683
861	1039	1114
862	1039	2281
863	1039	2281
864	1039	2281
865	1039	2281
866	1039	1757
867	1039	2280
868	1039	2211
869	1482	328
870	1482	471
871	1100	2249
872	1100	2034
873	1100	2280
874	1753	2034
875	555	2034
876	2306	513
877	2306	171
878	2306	1653
879	2306	1975
880	2306	800
881	2306	84
