	protein_sequence1	protein_sequence2
1780	506	1737
1781	1656	171
1782	1656	1653
1783	1656	2249
1784	1656	693
1785	1656	26
1786	1003	328
1787	944	1429
1788	1633	2280
1789	2089	706
1790	2089	2113
1791	1875	2706
1792	1734	328
1793	1734	471
1794	1080	2034
1795	2219	144
1796	2219	1757
1797	40	1435
1798	1913	2134
1799	1361	2327
1800	1361	908
1801	1361	683
1802	1361	1595
1803	1361	2280
1804	303	683
1805	711	144
1806	711	2034
1807	711	2331
1808	711	1435
1809	711	2280
1810	1840	1787
1811	1069	1429
1812	1069	471
1813	2515	377
1814	45	1213
1815	2011	1157
1816	188	2331
1817	1255	1757
1818	1676	1653
1819	1676	2280
1820	1676	2211
1821	1676	1563
1822	2136	1653
1823	2136	1563
1824	515	2134
1825	2087	2331
1826	2087	1975
1827	2087	377
1828	740	1653
1829	740	2280
1830	740	1563
1831	1530	750
1832	1530	2196
1833	864	171
1834	864	1653
1835	864	2331
1836	864	693
1837	864	26
1838	1991	702
1839	1991	2280
1840	1040	471
1841	412	2227
1842	582	693
1843	582	917
1844	582	124
1845	582	26
1846	582	1097
1847	582	2280
1848	37	2669
1849	37	610
1850	37	2034
1851	37	1157
1852	37	546
1853	37	1506
1854	1560	1624
1855	2294	1421
1856	2558	2280
1857	1911	503
1858	1911	2211
1859	2547	1576
1860	1889	1710
1861	689	1134
1862	689	1653
1863	689	2281
1864	689	2331
1865	689	1975
1866	689	377
1867	689	800
1868	689	917
1869	689	84
1870	689	26
1871	689	2211
1872	689	485
1873	1800	2281
1874	1800	2281
1875	1800	2281
1876	1800	2281
1877	1800	2034
1878	2472	1153
1879	2472	2331
1880	103	503
1881	103	2331
1882	308	708
1883	308	1660
1884	308	2560
1885	1316	210
1886	1316	2211
1887	674	2280
1888	2186	702
1889	2186	2280
1890	1288	2034
1891	368	2280
1892	378	2331
1893	378	1036
1894	2498	2034
1895	1768	737
1896	753	2331
1897	1999	1419
1898	1999	2163
1899	1191	683
1900	1237	1097
1901	1237	513
1902	1237	1134
1903	1237	1735
1904	1237	818
1905	1237	377
1906	1237	124
1907	1237	1281
1908	1237	1506
1909	1237	2453
1910	868	1653
1911	1882	1883
1912	1882	2297
1913	345	1883
1914	345	2331
1915	345	1
1916	34	393
1917	34	2277
1918	34	471
1919	819	1653
1920	819	2331
1921	819	2280
1922	819	1563
1923	1658	2280
1924	2228	328
1925	2228	471
1926	1923	1710
1927	2583	2034
1928	560	517
1929	2365	2034
1930	2711	844
1931	397	832
1932	397	2406
1933	397	1716
1934	95	1263
1935	155	2331
1936	155	2211
1937	155	2280
1938	4	2333
1939	4	1335
1940	4	1909
1941	4	551
1942	4	2329
1943	4	1510
1944	52	328
1945	52	1710
1946	1231	1097
1947	1231	171
1948	1231	2327
1949	1231	908
1950	1231	1036
1951	1231	693
1952	1231	1114
1953	1231	26
1954	1231	377
1955	1231	1757
1956	1952	882
1957	1952	1263
1958	1952	1710
1959	1952	1373
1960	2221	1622
1961	2221	438
1962	793	780
1963	793	2196
1964	1522	2327
1965	1522	908
1966	1522	1151
1967	1522	2280
1968	1522	1757
1969	2435	2034
1970	1765	1653
1971	1765	2211
1972	1765	2280
1973	1765	1563
1974	1870	2034
1975	1870	114
1976	1870	2280
1977	1331	2249
1978	2379	2331
1979	2379	377
1980	2379	2211
1981	2059	1152
1982	2059	452
1983	2059	1928
1984	2059	408
1985	2059	2280
1986	2060	1883
1987	2060	2297
1988	1342	1883
1989	1342	2297
1990	609	2211
1991	609	2196
1992	494	1653
1993	494	2196
1994	1233	1134
1995	1233	1653
1996	1233	2281
1997	1233	780
1998	1233	2331
1999	1233	1975
2000	1233	377
2001	1233	800
2002	1233	84
2003	1233	130
2004	1233	2196
2005	1233	2211
2006	1233	485
2007	1233	1563
2008	165	1036
2009	165	328
2010	165	471
2011	796	2327
2012	796	908
2013	796	1270
2014	796	2002
2015	796	1883
2016	796	1830
2017	796	1975
2018	796	377
2019	796	800
2020	2437	2034
2021	2393	414
2022	1659	503
2023	2527	144
2024	2527	2034
2025	2527	1114
2026	2527	2280
2027	2527	2211
2028	1583	750
2029	2194	610
2030	2194	2008
2031	2194	1909
2032	2194	708
2033	2194	952
2034	2194	1883
2035	2194	2034
2036	2194	981
2037	2194	1419
2038	2194	771
2039	2194	473
2040	2194	11
2041	2194	390
2042	1106	328
2043	1853	1308
2044	1244	84
2045	1381	2034
2046	1314	2280
2047	325	2280
2048	2102	1622
2049	2102	601
2050	2102	1722
2051	2102	438
2052	2321	1576
2053	2321	1898
2054	2321	393
2055	2321	2249
2056	1479	420
2057	1479	420
2058	1479	340
2059	1479	1972
2060	1479	1883
2061	1479	2034
2062	1479	981
2063	2004	2122
2064	1942	144
2065	449	1883
2066	449	2331
2067	449	2297
2068	954	290
2069	1432	780
2070	795	1134
2071	795	2034
2072	795	2331
2073	795	1975
2074	795	377
2075	795	1563
2076	795	800
2077	795	84
2078	795	2196
2079	795	485
2080	2722	1134
2081	2722	962
2082	2722	2034
2083	2722	2331
2084	2722	1975
2085	2722	377
2086	2722	1563
2087	2722	800
2088	2722	84
2089	2722	2196
2090	2722	2211
2091	480	2249
2092	480	2280
2093	250	2280
2094	271	1576
2095	271	1576
2096	271	1576
2097	271	937
2098	271	2134
2099	271	147
2100	271	147
2101	271	784
2102	1720	1883
2103	1720	2297
2104	2427	1335
2105	2427	679
2106	2427	1909
2107	2427	551
2108	2427	952
2109	2427	2329
2110	2427	892
2111	2427	1390
2112	2427	1091
2113	2427	1264
2114	2427	1513
2115	2427	1445
2116	2361	1375
2117	2040	1375
2118	1228	2331
2119	617	2280
2120	157	2034
2121	1179	1679
2122	1179	2173
2123	1179	784
2124	1291	503
2125	1291	513
2126	1291	171
2127	916	410
2128	1635	2355
2129	2590	471
2130	2632	2249
2131	156	2331
2132	2688	2173
2133	320	471
2134	64	328
2135	64	471
2136	901	1036
2137	2417	1975
2138	2417	377
2139	2417	800
2140	2417	2196
2141	2417	2211
2142	2048	375
2143	779	780
2144	779	1722
2145	1784	2327
2146	1784	908
2147	1784	2249
2148	1784	1757
2149	46	1101
2150	2595	2134
2151	2595	375
2152	497	692
2153	497	1351
2154	2064	377
2155	600	949
2156	600	2280
2157	600	2211
2158	1348	2249
2159	334	610
2160	334	679
2161	334	1909
2162	334	748
2163	334	952
2164	334	2281
2165	334	924
2166	1413	2331
2167	1379	1653
2168	1714	1653
2169	2620	2280
2170	1503	1757
2171	1503	2280
2172	72	1134
2173	72	2249
2174	590	1731
2175	2032	1818
2176	2032	1975
2177	2032	377
2178	2032	800
2179	2032	2196
2180	2032	485
2181	122	452
2182	1689	2034
2183	1689	1114
2184	1689	2280
2185	591	1883
2186	591	2331
2187	591	1830
2188	591	2280
2189	223	1213
2190	223	1811
2191	223	2280
2192	1246	693
2193	1246	1114
2194	1246	1120
2195	822	2355
2196	1666	2034
2197	2596	144
2198	971	1818
2199	971	2211
2200	608	2249
2201	2449	1286
2202	905	471
2203	322	2134
2204	847	2134
2205	847	2034
2206	847	2281
2207	847	2249
2208	847	924
2209	847	187
2210	2061	683
2211	2061	2331
2212	2061	2280
2213	82	2331
2214	82	1389
2215	82	234
2216	544	1762
2217	918	147
2218	2528	144
2219	2528	1022
2220	2528	1095
2221	2528	1824
2222	2528	2034
2223	2528	1114
2224	2528	2164
2225	2528	30
2226	1117	2211
2227	196	328
2228	1970	737
2229	1970	2211
2230	1970	471
2231	533	826
2232	533	1435
2233	533	244
2234	533	1407
2235	533	394
2236	533	2107
2237	533	1119
2238	2536	826
2239	2536	780
2240	2536	1883
2241	2536	2281
2242	2536	1829
2243	2536	924
2244	2155	826
2245	2155	1981
2246	1832	826
2247	1832	1188
2248	1832	2331
2249	1832	2355
2250	1832	324
2251	1708	328
2252	558	1710
2253	558	2165
2254	967	2139
2255	967	1794
2256	2343	471
2257	1921	2249
2258	1921	2355
2259	2718	750
2260	2098	1928
2261	447	328
2262	447	471
2263	2179	750
2264	2179	1757
2265	2387	1134
2266	2387	2331
2267	2387	1757
2268	2387	2280
2269	2000	2281
2270	2000	924
2271	2674	2280
2272	321	1134
2273	321	2034
2274	321	2331
2275	321	1975
2276	321	377
2277	321	2280
2278	321	2211
2279	2009	627
2280	673	693
2281	468	1883
2282	468	2034
2283	468	1830
2284	468	2297
2285	1280	2134
2286	1280	2450
2287	3	144
2288	919	328
2289	2739	2331
2290	2739	2355
2291	1717	1036
2292	1078	1335
2293	1078	551
2294	1078	2249
2295	1078	2280
2296	1078	2211
2297	1489	1153
2298	1614	2211
2299	2561	1286
2300	2561	2280
2301	1184	1134
2302	1184	2331
2303	172	408
2304	1115	2034
2305	1115	2331
2306	1642	2034
2307	668	2249
2308	2354	1883
2309	2354	2034
2310	2354	1830
2311	2354	1
2312	1769	2249
2313	83	1036
2314	83	11
2315	83	390
2316	2258	2280
2317	2256	2196
2318	1592	290
2319	1941	144
2320	1941	471
2321	1796	2331
2322	2611	328
2323	2339	2249
2324	2206	2249
2325	2206	2280
2326	2268	1811
2327	1545	2034
2328	386	328
2329	1555	2589
2330	1555	765
2331	174	2034
2332	663	2034
2333	663	2280
2334	75	2034
2335	75	471
2336	2398	2685
2337	2398	2580
2338	2398	2034
2339	2398	2331
2340	2398	26
2341	2398	9
2342	2398	692
2343	2398	2280
2344	1570	780
2345	2662	2034
2346	2662	328
2347	1758	1818
2348	1758	328
2349	1758	471
2350	1094	471
2351	536	2034
2352	2003	2249
2353	2519	2280
2354	2730	1617
2355	2563	2034
2356	342	2034
2357	1861	2331
2358	1456	780
2359	1456	2134
2360	150	780
2361	2459	2034
2362	770	2134
2363	770	2450
2364	900	1270
2365	553	1890
2366	553	1710
2367	1634	2034
2368	402	1883
2369	402	1830
2370	402	471
2371	2381	328
2372	2381	471
2373	180	2249
2374	180	2331
2375	799	1811
2376	1083	2331
2377	1083	1435
2378	540	1474
2379	363	2331
2380	363	2196
2381	363	2211
2382	222	1710
2383	2005	1883
2384	2005	1830
2385	2005	2211
2386	1050	1294
2387	1050	1373
2388	1609	2331
2389	1609	2280
2390	853	377
2391	853	2280
2392	853	2211
2393	2462	1975
2394	2462	377
2395	2462	1710
2396	2462	2196
2397	2462	2280
2398	2462	2211
2399	220	1735
2400	220	780
2401	220	2281
2402	220	2281
2403	220	2281
2404	220	2281
2405	220	924
2406	220	844
2407	220	818
2408	220	1710
2409	220	2280
2410	217	1735
2411	217	780
2412	217	2281
2413	217	2281
2414	217	2281
2415	217	2281
2416	217	924
2417	217	818
2418	217	1710
2419	217	461
2420	217	2280
2421	217	1981
2422	2541	2249
2423	2279	144
2424	2279	1818
2425	2279	2034
2426	2279	2280
2427	128	2034
2428	1857	2331
2429	2726	780
2430	2172	2331
2431	258	2331
2432	492	2034
2433	492	1710
2434	2455	348
2435	2455	2463
2436	1797	377
2437	830	1157
2438	849	328
2439	849	471
2440	2062	2331
2441	2062	2177
2442	1486	1622
2443	1486	438
2444	605	2154
2445	2633	1975
2446	2633	377
2447	2633	800
2448	2633	2196
2449	2633	471
2450	2390	2491
2451	2244	2280
2452	2425	2280
2453	2425	2211
2454	403	2249
2455	890	2280
2456	73	1868
2457	73	826
2458	73	1435
2459	2120	2134
2460	2120	917
2461	2399	952
2462	2399	678
2463	2512	2280
2464	74	2659
2465	74	1618
2466	1542	1617
2467	1542	1188
2468	1542	1512
2469	1542	2281
2470	1542	2331
2471	1542	2355
2472	1542	949
2473	1542	2280
2474	1542	1786
2475	1542	1293
2476	1542	2224
2477	1542	324
2478	1841	1435
2479	1841	1811
2480	1841	1710
2481	1841	2280
2482	1388	513
2483	1388	2327
2484	1388	908
2485	1644	2034
2486	1644	2355
2487	1644	1114
2488	1644	2280
2489	1644	2211
2490	1075	2669
2491	2016	1995
2492	2016	1375
2493	2016	1909
2494	2016	452
2495	2016	1928
2496	682	2196
2497	565	2331
2498	565	317
2499	313	610
2500	313	2484
2501	313	2355
2502	313	1157
2503	313	771
2504	1176	1622
2505	1176	1710
2506	1176	438
2507	695	2281
2508	695	924
2509	1813	755
2510	1554	171
2511	1554	1653
2512	1554	2034
2513	1554	693
2514	1554	26
2515	1437	683
2516	1872	2280
2517	1718	2280
2518	666	2280
2519	481	503
2520	481	171
2521	481	1653
2522	481	1512
2523	481	2034
2524	481	1787
2525	481	1975
2526	481	1563
2527	481	692
2528	481	824
2529	481	84
2530	481	1981
2531	481	2453
2532	1728	1653
2533	1728	2034
2534	1728	2331
2535	1728	1787
2536	1728	1975
2537	932	2211
2538	86	1898
2539	86	2034
2540	86	2280
2541	958	2249
2542	184	2249
2543	184	2249
2544	1968	2034
2545	1130	2355
2546	498	1883
2547	498	1830
2548	498	1
2549	133	2331
2550	421	1036
2551	215	1883
2552	215	2297
2553	1455	1787
2554	1455	377
2555	1455	824
2556	2124	377
2557	951	2249
2558	955	917
2559	360	1134
2560	2255	1760
2561	2255	377
2562	2255	2280
2563	2255	2211
2564	2255	1757
2565	2694	1101
2566	644	1485
2567	1217	2034
2568	2238	2280
2569	1601	471
2570	1253	2331
2571	1253	1757
2572	2464	1036
2573	1801	1435
2574	1801	2280
2575	219	2331
2576	589	2280
2577	489	2034
2578	366	1036
2579	2396	503
2580	2396	328
2581	2111	1790
2582	1539	377
2583	1539	1506
2584	214	1757
2585	2502	2249
2586	630	503
2587	1925	2280
2588	1907	328
2589	1907	471
2590	2202	2034
2591	1574	377
2592	1574	736
2593	1574	84
2594	1574	485
2595	2025	937
2596	2025	1618
2597	2025	2659
2598	505	2034
2599	256	171
2600	256	1653
2601	256	2331
2602	256	1787
2603	256	1975
2604	256	692
2605	1374	1576
2606	457	2034
2607	179	2355
2608	1277	937
2609	1303	2331
2610	861	708
2611	861	1660
2612	861	1883
2613	861	2331
2614	861	1830
2615	861	2297
2616	2145	2355
2617	1664	1435
2618	1924	1153
2619	1924	2355
2620	870	1036
2621	1273	1097
2622	1273	171
2623	1273	908
2624	1273	1653
2625	1273	401
2626	1273	1036
2627	1273	693
2628	1273	1114
2629	1273	26
2630	1273	1975
2631	1273	377
2632	1273	84
2633	1273	2280
2634	1273	1757
2635	545	780
2636	636	2280
2637	2222	2280
2638	490	2280
2639	1761	2034
2640	1761	1435
2641	1414	2280
2642	2322	328
2643	440	2164
2644	440	1786
2645	1267	2331
2646	1009	2154
2647	57	1883
2648	57	2394
2649	307	2249
2650	2114	1898
2651	1697	328
2652	2591	503
2653	2591	171
2654	2591	1653
2655	2591	1512
2656	2591	1787
2657	2591	1975
2658	2591	1563
2659	2591	692
2660	2591	824
2661	2591	84
2662	2591	1981
2663	2591	2453
2664	1918	2280
2665	1733	2165
2666	814	1213
2667	1398	1213
2668	2504	1710
2669	1926	377
2670	2416	2331
2671	2640	2327
2672	2640	908
2673	897	2280
2674	2571	1653
2675	2127	2165
2676	606	693
2677	606	26
2678	2621	1435
2679	998	784
2680	87	328
2681	1992	1114
2682	2382	2240
2683	2285	2134
2684	1035	1975
2685	1035	84
2686	1035	2211
2687	1035	130
2688	1035	485
2689	1035	377
2690	1035	144
2691	1035	2331
2692	1035	1134
2693	596	1883
2694	596	1
2695	1667	780
2696	2454	473
2697	2454	981
2698	2454	2034
2699	775	2297
2700	775	1883
2701	140	1710
2702	1771	2173
2703	1771	1278
2704	1771	26
2705	1771	2331
2706	1723	2280
2707	1199	2211
2708	1332	1975
2709	1332	1787
2710	1332	1653
2711	1332	2034
2712	1332	171
2713	1332	692
2714	761	1757
2715	761	2280
2716	526	2281
2717	526	1174
2718	526	2484
2719	526	771
2720	526	881
2721	526	856
2722	526	1157
2723	526	610
2724	2133	1488
2725	1385	2331
2726	2482	1600
2727	2126	1757
2728	1245	1883
2729	1245	1
2730	806	2355
2731	1026	2211
2732	599	2280
2733	1170	2211
2734	181	1527
2735	1519	2034
2736	1367	377
2737	603	1081
2738	603	2281
2739	603	924
2740	425	2355
2741	2526	2280
2742	205	784
2743	2106	2280
2744	2334	1883
2745	2334	1
2746	2334	1757
2747	2334	1830
2748	2540	2280
2749	2540	1213
2750	1538	328
2751	277	377
2752	1125	780
2753	1125	1883
2754	808	2211
2755	808	144
2756	808	2034
2757	887	780
2758	2545	1975
2759	2545	601
2760	2545	1563
2761	2545	377
2762	2619	1727
2763	1767	328
2764	1767	471
2765	1732	2034
2766	2529	377
2767	162	2211
2768	162	2034
2769	162	2331
2770	2132	2280
2771	2671	1710
2772	635	917
2773	2039	1506
2774	110	1883
2775	110	1830
2776	2316	2280
2777	2072	782
2778	704	328
2779	704	1972
2780	2533	1282
2781	2533	1972
2782	875	2280
2783	875	1435
2784	1099	2211
2785	254	2249
2786	1902	2280
2787	719	1351
2788	1833	2211
2789	1457	2211
2790	1457	2280
2791	1457	1757
2792	1350	290
2793	2440	1710
2794	2440	1
2795	2440	1883
2796	934	1114
2797	934	1095
2798	934	2280
2799	934	2034
2800	871	2050
2801	1949	2280
2802	562	2280
2803	2606	2134
2804	1584	471
2805	2248	2249
2806	243	2280
2807	632	2331
2808	1205	2297
2809	1205	1883
2810	1371	2249
2811	1449	328
2812	1449	1757
2813	1058	2034
2814	2617	2589
2815	2617	949
2816	2617	2211
2817	332	650
2818	62	328
2819	572	1435
2820	2315	2280
2821	2667	2331
2822	1298	1710
2823	2391	1576
2824	723	2034
2825	723	328
2826	1579	1024
2827	2254	2034
2828	727	2034
2829	964	2034
2830	257	2280
2831	257	2331
2832	1705	2500
2833	2648	1435
2834	948	1300
2835	1220	1435
2836	1243	144
2837	649	471
2838	649	328
2839	175	2034
2840	525	1679
2841	1550	1883
2842	1550	2297
2843	593	683
2844	593	2280
2845	1665	2150
2846	77	601
2847	77	1563
2848	77	1653
2849	77	377
2850	2332	1760
2851	2332	1114
2852	2332	1787
2853	2332	2280
2854	2332	1270
2855	2332	2211
2856	567	2211
2857	1504	1957
2858	1262	2280
2859	1262	1757
2860	893	1351
2861	724	2280
2862	724	2034
2863	823	2249
2864	1647	2249
2865	260	949
2866	260	2034
2867	942	2034
2868	28	1653
2869	1511	2280
2870	1511	2211
2871	265	2280
2872	32	2280
2873	2198	377
2874	2198	328
2875	903	750
2876	2054	1215
2877	2054	49
2878	118	2280
2879	118	471
2880	2289	328
2881	745	390
2882	745	2074
2883	745	1444
2884	745	708
2885	745	2560
2886	1156	2249
2887	2264	1211
2888	2264	1460
2889	2264	1260
2890	2392	1893
2891	2348	1180
2892	2348	2597
2893	2348	2134
2894	2348	1435
2895	2348	725
2896	2348	906
2897	2348	2249
2898	542	2249
2899	1064	692
2900	1428	2249
2901	67	737
2902	67	692
2903	67	1166
2904	694	692
2905	2250	692
2906	958	1429
2907	958	2249
2908	902	2249
2909	2698	1757
2910	1087	784
2911	1752	1375
2912	1752	144
2913	1752	20
2914	1752	768
2915	943	328
2916	943	471
2917	1602	471
2918	926	328
2919	1041	471
2920	1041	328
2921	1962	471
2922	33	2249
2923	33	328
2924	33	1679
2925	33	937
2926	33	471
2927	1088	328
2928	1175	2056
2929	1795	2280
2930	1795	2249
2931	1795	2134
2932	2507	471
2933	686	692
2934	2142	471
2935	1319	328
2936	298	1286
2937	298	2031
2938	142	377
2939	1446	692
2940	762	471
2941	762	328
2942	445	471
2943	2200	2249
2944	2200	780
2945	2530	1429
2946	805	1600
2947	805	2641
2948	805	2050
2949	805	937
2950	805	1679
2951	2402	2331
2952	2402	683
2953	2402	2280
2954	718	377
2955	718	1429
2956	718	1653
2957	718	2331
2958	718	692
2959	902	1429
2960	902	2249
2961	398	107
2962	398	1909
2963	398	27
2964	398	1488
2965	398	1157
2966	398	1710
2967	398	2280
2968	398	268
2969	398	2074
2970	398	2281
2971	398	2281
2972	398	2281
2973	398	2281
2974	398	551
2975	1416	2211
2976	19	2249
2977	19	2280
2978	1104	2280
2979	261	2134
2980	1739	1653
2981	1739	1975
2982	1739	824
2983	1739	84
2984	1739	1787
2985	1739	1981
2986	1739	2453
2987	1739	1563
2988	1739	503
2989	1739	1512
2990	1739	171
2991	1739	692
2992	1047	1097
2993	1047	2280
2994	1749	2249
2995	2443	2714
2996	13	2249
2997	817	908
2998	817	1975
2999	817	377
3000	817	84
3001	817	1097
3002	817	2211
3003	817	2327
3004	817	1822
3005	817	171
3006	817	2280
3007	1704	692
3008	102	1653
3009	102	2211
3010	1019	1653
3011	1019	2211
3012	1019	503
3013	2610	2280
3014	2610	2211
3015	1623	1883
3016	1084	1653
3017	1084	377
3018	1084	1787
3019	1084	2280
3020	1084	1563
3021	1920	2280
3022	1274	1653
3023	1274	377
3024	1274	1787
3025	1274	2280
3026	1274	1563
3027	2330	780
3028	2330	253
3029	1463	2331
3030	2733	328
3031	2733	471
3032	1484	2134
3033	527	328
3034	441	2249
3035	441	2134
3036	441	218
3037	441	2450
3038	441	824
3039	441	725
3040	216	2134
3041	216	1300
3042	216	1372
3043	216	824
3044	216	650
3045	216	592
3046	216	2214
3047	216	2450
3048	216	290
3049	216	709
3050	2495	1444
3051	2495	1847
3052	2495	708
3053	2495	2262
3054	2495	414
3055	2495	2163
3056	2495	2074
3057	2495	2560
3058	2495	1284
3059	2495	1294
3060	2495	39
3061	2495	1824
3062	2495	2057
3063	2495	1660
3064	658	377
3065	658	2280
3066	2569	2034
3067	2569	2211
3068	1171	1435
3069	1171	377
3070	1171	2280
3071	652	2196
3072	247	1653
3073	247	377
3074	247	1134
3075	2212	1710
3076	350	1653
3077	350	2034
3078	350	2331
3079	350	377
3080	350	2280
3081	350	471
3082	350	54
3083	350	210
3084	2623	76
3085	854	1653
3086	854	2034
3087	854	1975
3088	854	1787
3089	5	2280
3090	337	1653
3091	337	377
3092	337	2211
3093	810	2331
3094	810	2249
3095	152	1972
3096	1008	2249
3097	1377	780
3098	827	2249
3099	164	2327
3100	164	908
3101	164	2589
3102	164	1760
3103	164	2331
3104	164	1114
3105	164	1975
3106	164	377
3107	164	800
3108	164	1811
3109	164	84
3110	164	26
3111	164	401
3112	164	1097
3113	164	693
3114	164	970
3115	164	2211
3116	164	1757
3117	164	2453
3118	164	485
3119	164	503
3120	164	1512
3121	164	1134
3122	164	683
3123	164	1270
3124	164	1822
3125	164	1036
3126	164	171
3127	164	124
3128	164	2280
3129	371	2134
3130	2144	377
3131	2144	692
3132	499	780
3133	499	2280
3134	499	2211
3135	2273	1883
3136	2273	1830
3137	1534	2327
3138	1534	908
3139	1534	1114
3140	1534	377
3141	1534	2280
3142	1534	2211
3143	1534	1757
3144	1534	439
3145	1534	683
3146	1849	962
3147	1849	2331
3148	1849	1975
3149	1849	377
3150	1849	800
3151	1849	84
3152	1849	2196
3153	1849	2280
3154	1849	485
3155	1849	1563
3156	1849	1134
3157	206	328
3158	1965	2134
3159	1965	2450
3160	1965	290
3161	442	2134
3162	442	1300
3163	442	1197
3164	442	1372
3165	442	650
3166	442	592
3167	442	2450
3168	442	725
3169	442	709
3170	442	824
3171	1955	2706
3172	1955	2580
3173	1955	2685
3174	1955	2034
3175	2573	2249
3176	1983	387
3177	2734	2280
3178	1322	2327
3179	1322	908
3180	1322	1653
3181	1322	377
3182	1322	2280
3183	1322	1757
3184	1322	513
3185	1322	683
3186	1492	692
3187	989	692
3188	1325	2211
3189	1409	471
3190	722	2331
3191	722	1710
3192	2664	2134
3193	2664	1308
3194	2664	1300
3195	2664	1197
3196	2664	1372
3197	2664	824
3198	2664	650
3199	2664	924
3200	2664	709
3201	2664	592
3202	2664	2450
3203	1397	1883
3204	1397	2280
3205	1397	937
3206	2663	2331
3207	2663	1294
3208	2663	2211
3209	2035	1215
3210	1816	1653
3211	1816	2331
3212	1816	377
3213	1816	2280
3214	1816	1757
3215	1816	1563
3216	1979	780
3217	1979	2249
3218	245	2211
3219	245	1757
3220	1938	1134
3221	1582	2331
3222	1523	1710
3223	1131	1373
3224	226	1859
3225	1365	2280
3226	604	486
3227	604	1518
3228	2501	1653
3229	2501	2331
3230	2501	1975
3231	2501	377
3232	2501	800
3233	2501	824
3234	2501	84
3235	2501	1787
3236	2501	2196
3237	2501	2211
3238	2501	485
3239	2501	1134
3240	2501	135
3241	579	2280
3242	326	144
3243	326	2685
3244	326	2580
3245	326	1263
3246	326	2280
3247	2251	1972
3248	2251	1686
3249	1759	2249
3250	910	328
3251	910	471
3252	2078	2034
3253	1936	1653
3254	1936	1975
3255	1936	824
3256	1936	84
3257	1936	1787
3258	1936	1981
3259	1936	2453
3260	1936	1563
3261	1936	503
3262	1936	1512
3263	1936	171
3264	1936	416
3265	1936	692
3266	1312	784
3267	1715	328
3268	1982	692
3269	1140	692
3270	1558	693
3271	353	693
3272	1216	2034
3273	1216	780
3274	1216	620
3275	1216	701
3276	120	290
3277	120	841
3278	120	1829
3279	120	2211
3280	2663	2331
3281	2663	1294
3282	2663	2211
3283	1862	1762
3284	816	2034
3285	958	2249
3286	184	2249
3287	44	1883
3288	705	2280
3289	880	1419
3290	8	1213
3291	456	1653
3292	456	377
3293	456	2211
3294	456	1757
3295	2673	2034
3296	1382	708
3297	1382	2034
3298	1810	2589
3299	1810	1114
3300	1810	702
3301	1810	1811
3302	1810	1294
3303	1810	2211
3304	1810	2453
3305	1810	503
3306	1810	1151
3307	1810	683
3308	1810	1036
3309	1810	2280
3310	1596	601
3311	1596	2211
3312	1596	471
3313	399	2280
3314	2682	2036
3315	1200	2280
3316	1323	1017
3317	1054	2034
3318	21	924
3319	21	2281
3320	2421	1653
3321	2421	1818
3322	2421	2034
3323	2421	2331
3324	2421	1975
3325	2421	377
3326	2421	800
3327	2421	84
3328	2421	2196
3329	2421	2280
3330	2421	485
3331	1338	144
3332	1338	2280
3333	281	1890
3334	281	290
3335	281	2589
3336	281	1760
3337	281	818
3338	281	377
3339	281	1787
3340	281	970
3341	281	2453
3342	281	1134
3343	281	328
3344	1557	1975
3345	500	2034
3346	500	1435
3347	500	1787
3348	831	701
3349	2493	2034
3350	2493	2331
3351	2493	2211
3352	2493	2280
3353	153	917
3354	2534	1757
3355	232	393
3356	2651	1818
3357	2651	2196
3358	843	1757
3359	295	471
3360	1770	2165
3361	2123	1653
3362	2123	693
3363	813	2453
3364	1726	2134
3365	1780	2280
3366	2066	2500
3367	2197	2706
3368	1378	1757
3369	672	2355
3370	404	401
3371	1183	683
3372	1724	2589
3373	2725	171
3374	2725	1653
3375	2725	693
3376	2725	26
3377	2725	1710
3378	628	2196
3379	2593	1097
3380	2593	513
3381	2593	970
3382	2593	1653
3383	2593	2589
3384	2593	1760
3385	2593	1684
3386	2593	401
3387	2593	1822
3388	2593	1151
3389	2593	683
3390	2593	1595
3391	2593	2331
3392	2593	1036
3393	2593	693
3394	2593	1114
3395	2593	1787
3396	2593	377
3397	2593	917
3398	2593	124
3399	2593	1957
3400	2593	1811
3401	2593	2280
3402	2593	1757
3403	2593	317
3404	1315	2034
3405	2607	970
3406	2607	2589
3407	2607	1760
3408	2607	26
3409	2607	2211
3410	2174	2280
3411	2080	1710
3412	2395	2280
3413	2286	2280
3414	1020	1757
3415	564	1036
3416	2423	2034
3417	2423	2196
3418	2423	1975
3419	2423	377
3420	2423	84
3421	2731	1883
3422	2731	2331
3423	2731	2297
3424	2577	2034
3425	1052	924
3426	183	2355
3427	2380	503
3428	2380	171
3429	2380	1653
3430	2380	1512
3431	2380	2034
3432	2380	1787
3433	2380	1975
3434	2380	1563
3435	2380	692
3436	2380	824
3437	2380	84
3438	2380	1981
3439	2380	2453
3440	2014	1213
3441	1891	1710
3442	1681	1153
3443	2178	2331
3444	203	780
3445	61	328
3446	61	377
3447	61	471
3448	1789	1
3449	1789	1883
3450	1109	2034
3451	2232	2281
3452	2232	2331
3453	2232	1883
3454	2232	924
3455	2232	2280
3456	1068	780
3457	877	2331
3458	2070	1710
3459	1458	401
3460	1688	780
3461	1688	328
3462	1688	471
3463	1835	471
3464	1805	1435
3465	1186	1389
3466	1186	234
3467	1695	2331
3468	482	1975
